id,timestamp,susceptible,exposed,carrier,infected,hospitalized,icu,dead,recovered
287f3ad6952943a8aae6c26676798030,130,2228,412,260,72,35,26,229,4940
287f3ad6952943a8aae6c26676798030,131,2191,413,233,84,27,22,229,5003
287f3ad6952943a8aae6c26676798030,132,2156,411,207,82,40,18,230,5058
287f3ad6952943a8aae6c26676798030,133,2133,393,199,70,28,23,232,5124
287f3ad6952943a8aae6c26676798030,134,2115,363,195,70,28,23,233,5175
287f3ad6952943a8aae6c26676798030,135,2099,354,174,68,27,28,234,5218
287f3ad6952943a8aae6c26676798030,136,2080,322,182,59,26,27,237,5269
287f3ad6952943a8aae6c26676798030,137,2048,314,187,49,21,24,242,5317
287f3ad6952943a8aae6c26676798030,138,2033,285,187,59,21,21,243,5353
287f3ad6952943a8aae6c26676798030,139,2015,272,177,56,28,19,244,5391
287f3ad6952943a8aae6c26676798030,140,1997,252,177,55,16,23,246,5436
287f3ad6952943a8aae6c26676798030,141,1974,241,168,58,16,11,247,5487
287f3ad6952943a8aae6c26676798030,142,1952,239,156,54,22,8,248,5523
287f3ad6952943a8aae6c26676798030,143,1938,230,142,47,22,15,248,5560
287f3ad6952943a8aae6c26676798030,144,1916,234,135,37,20,14,251,5595
287f3ad6952943a8aae6c26676798030,145,1898,230,127,35,18,11,253,5630
287f3ad6952943a8aae6c26676798030,146,1889,217,127,36,9,15,255,5654
287f3ad6952943a8aae6c26676798030,147,1871,206,129,38,12,11,257,5678
287f3ad6952943a8aae6c26676798030,148,1861,188,121,49,12,9,258,5704
287f3ad6952943a8aae6c26676798030,149,1846,186,116,34,20,7,258,5735
287f3ad6952943a8aae6c26676798030,150,1835,181,100,41,15,10,259,5761
287f3ad6952943a8aae6c26676798030,151,1823,178,97,26,14,16,260,5788
287f3ad6952943a8aae6c26676798030,152,1812,170,91,36,8,13,262,5810
287f3ad6952943a8aae6c26676798030,153,1804,157,99,24,11,10,263,5834
287f3ad6952943a8aae6c26676798030,154,1794,150,93,30,10,4,264,5857
